192.168.70.59,4694,125.118.222.176,4675,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
113.65.127.116,51007,172.22.152.230,3128,网络代理,5/5,753B/795B,2018-04-10 16:20:49,2018-04-10 16:20:51
122.5.106.38,61479,172.22.152.230,3128,HTTP网页浏览,5/5,604B/1.3KB,2018-04-10 16:20:49,2018-04-10 16:20:51
172.22.151.61,24478,150.138.229.130,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.150.225,60194,43.226.162.67,80,HTTP网页浏览,20/22,7.1KB/6.2KB,2018-04-10 16:19:49,2018-04-10 16:20:51
192.168.68.218,32344,58.240.173.27,17788,其他UDP应用,2/0,264B/0B,2018-04-10 16:20:16,2018-04-10 16:20:51
192.168.72.136,50035,220.181.61.199,80,HTTP网页浏览,6/5,1.1KB/554B,2018-04-10 16:20:49,2018-04-10 16:20:51
192.168.77.72,33385,113.204.204.74,0,迅雷,1/0,82B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.66.10,17240,115.231.177.3,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.72.132,20483,101.227.22.11,17788,PPS,1/0,130B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.150.99,28868,183.230.76.19,17788,其他UDP应用,2/0,264B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.76.188,25971,89.77.71.95,6442,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.70.175,52806,123.151.79.47,80,POST应用,5/4,733B/375B,2018-04-10 16:20:50,2018-04-10 16:20:51
